ride_stations,distance_km,is_member,duration_minute
175_158,2.470140253952686,0.0,11.516666666666667
432_158,4.497918765397998,0.0,26.183333333333334
1101_158,0.8583517669130635,1.0,3.4166666666666665
289_158,2.3651580533204855,1.0,15.116666666666667
1071_158,1.1350962268742395,1.0,7.383333333333334
159_158,0.5652128414222264,1.0,4.616666666666666
100_158,1.846106008507222,1.0,9.633333333333333
296_158,2.002240009429263,1.0,8.45
292_158,1.977754929179938,1.0,10.966666666666667
585_158,3.9776147170171257,0.0,22.9
297_158,2.106247406630378,1.0,17.716666666666665
175_1041,1.2448940812866125,1.0,7.333333333333333
1041_1041,0.0,1.0,0.3
245_1041,2.827267356658254,0.0,18.55
289_1041,3.071800841985277,1.0,23.583333333333332
247_1041,2.670551865982474,1.0,12.0
155_1041,1.659085029135421,0.0,9.233333333333333
256_1041,2.3313841460194773,1.0,25.55
887_1041,0.4951168939569179,1.0,2.2333333333333334
598_1041,1.5535304244401398,1.0,7.616666666666666
159_1041,1.9478426807650973,1.0,7.333333333333333
1076_1041,3.8422077575017206,0.0,37.78333333333333
405_1041,4.34880337106555,1.0,17.983333333333334
175_942,0.572307381565138,1.0,2.7333333333333334
214_942,0.8636149059440383,1.0,4.683333333333334
144_942,4.031568655557012,1.0,35.43333333333333
175_256,1.2672627539094272,1.0,5.183333333333334
175_256,1.2672627539094272,0.0,6.5
175_256,1.2672627539094272,1.0,5.716666666666667
432_256,1.0330908674272699,0.0,9.9
262_256,0.39524021263335896,1.0,3.5
331_256,1.07099281058634,1.0,11.85
1009_256,0.753490837242373,1.0,5.7
333_256,1.2943518208794953,1.0,9.316666666666666
339_256,0.6803986278949913,1.0,4.716666666666667
428_256,1.5138851485752942,1.0,23.366666666666667
334_256,1.1358451244133032,1.0,9.133333333333333
242_256,0.6743200965300717,1.0,3.95
242_256,0.6743200965300717,1.0,4.2
145_256,1.3087683900128273,0.0,8.05
256_256,0.0,1.0,0.55
43_256,3.645815110610134,1.0,22.55
235_256,1.3590849332568944,0.0,11.116666666666667
240_256,1.190759054214118,1.0,7.666666666666667
340_256,0.6398913636047202,0.0,3.95
340_256,0.6398913636047202,1.0,12.85
268_256,0.8319513561001969,1.0,5.233333333333333
249_256,0.4692274189748103,1.0,4.7
249_256,0.4692274189748103,1.0,7.683333333333334
249_256,0.4692274189748103,1.0,2.183333333333333
437_256,1.2428725171069026,1.0,13.966666666666667
179_256,1.6500754617113982,1.0,7.916666666666667
167_256,0.369039998419559,1.0,3.1166666666666667
211_256,0.7548110773063185,1.0,6.283333333333333
243_256,0.555896207246168,0.0,13.45
1179_256,1.7691750285050365,1.0,13.083333333333334
266_256,0.6029375932597937,1.0,2.85
664_256,3.728169408566035,1.0,19.083333333333332
761_256,0.523571417827688,1.0,2.6
175_214,0.8936285503906916,1.0,7.35
592_214,1.7469669326874206,1.0,7.916666666666667
218_214,0.38274673824806216,1.0,2.1166666666666667
765_214,2.883403564273091,1.0,15.616666666666667
247_214,1.657881304344374,1.0,10.55
553_214,1.432242370220104,1.0,8.616666666666667
1010_214,3.6596161586775864,1.0,28.966666666666665
145_214,1.3975610139636356,1.0,7.483333333333333
